Year,Gender,Discipline,Name,Country,Result,Date
2013,men,1500m,Asbel KIPROP,KEN,3:27.72,19 JUL 2013
2013,men,5000m,Edwin Cheruiyot SOI,KEN,12:51.34,19 JUL 2013
2013,men,10000m,Dejen GEBREMESKEL,ETH,26:51.02,27 JUN 2013
2013,women,800m,Francine NIYONSABA,BDI,1:56.72,01 JUN 2013
2013,women,1500m,Abeba AREGAWI,SWE,3:56.60,10 MAY 2013
2013,women,5000m,Tirunesh DIBABA,ETH,14:23.68,06 JUL 2013
2013,women,10000m,Meseret DEFAR,ETH,30:08.06,27 JUN 2013
2014,men,800m,Nijel AMOS,BOT,1:42.45,18 JUL 2014
2014,men,1500m,Silas KIPLAGAT,KEN,3:27.64,18 JUL 2014
2014,men,5000m,Muktar EDRIS,ETH,12:54.83,21 AUG 2014
2014,men,10000m,Galen RUPP,USA,26:44.36,30 MAY 2014
2014,women,800m,Ajee' WILSON,USA,1:57.67,18 JUL 2014
2014,women,1500m,Genzebe DIBABA,ETH,3:55.17,01 FEB 2014
2014,women,5000m,Genzebe DIBABA,ETH,14:28.88,18 JUL 2014
2014,women,10000m,Sally KIPYEGO,KEN,30:42.26,04 MAY 2014
2015,men,800m,Amel TUKA,BIH,1:42.51,17 JUL 2015
2015,men,1500m,Asbel KIPROP,KEN,3:26.69,17 JUL 2015
2015,men,5000m,Yomif KEJELCHA,ETH,12:53.98,11 SEP 2015
2015,men,10000m,Mo FARAH,GBR,26:50.97,29 MAY 2015
2015,women,800m,Eunice Jepkoech SUM,KEN,1:56.99,04 JUL 2015
2015,women,1500m,Genzebe DIBABA,ETH,3:50.07,17 JUL 2015
2015,women,5000m,Almaz AYANA,ETH,14:14.32,17 MAY 2015
2015,women,10000m,Gelete BURKA,ETH,30:49.68,17 JUN 2015
2016,men,800m,David RUDISHA,KEN,1:42.15,15 AUG 2016
2016,men,1500m,Asbel KIPROP,KEN,3:29.33,05 JUN 2016
2016,men,5000m,Mo FARAH,GBR,12:59.29,23 JUL 2016
2016,men,10000m,Yigrem DEMELASH,ETH,26:51.11,29 JUN 2016
2016,women,800m,Caster SEMENYA,RSA,1:55.28,20 AUG 2016
2016,women,1500m,Laura MUIR,GBR,3:55.22,27 AUG 2016
2016,women,5000m,Almaz AYANA,ETH,14:12.59,02 JUN 2016
2016,women,10000m,Almaz AYANA,ETH,29:17.45,12 AUG 2016
2017,men,800m,Emmanuel Kipkurui KORIR,KEN,1:43.10,21 JUL 2017
2017,men,1500m,Elijah Motonei MANANGOI,KEN,3:28.80,21 JUL 2017
2017,men,5000m,Muktar EDRIS,ETH,12:55.23,06 JUL 2017
